Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,EnvironmentVariables,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Field,Mean,Error,StdDev,Median
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtEnd startCapacity:0 originalSize:100, methodArgument:80)",637.9 us,14.998 us,43.032 us,626.5 us
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtEnd startCapacity:0 originalSize:100, methodArgument:80)",628.9 us,12.968 us,32.773 us,625.1 us
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtEnd startCapacity:0 originalSize:1000, methodArgument:800)","6,053.8 us",118.294 us,296.776 us,"6,039.5 us"
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtEnd startCapacity:0 originalSize:1000, methodArgument:800)","6,045.7 us",120.036 us,253.197 us,"6,027.5 us"
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtEnd startCapacity:0 originalSize:10000, methodArgument:8000)","60,486.4 us","1,188.385 us","1,985.525 us","60,227.9 us"
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtEnd startCapacity:0 originalSize:10000, methodArgument:8000)","60,117.8 us","1,194.021 us","1,673.851 us","60,108.3 us"
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtEnd startCapacity:100 originalSize:100, methodArgument:80)",645.1 us,15.918 us,46.180 us,636.5 us
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtEnd startCapacity:100 originalSize:100, methodArgument:80)",627.1 us,13.762 us,38.815 us,619.1 us
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtEnd startCapacity:1000 originalSize:1000, methodArgument:800)","6,114.9 us",160.216 us,443.956 us,"5,999.5 us"
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtEnd startCapacity:1000 originalSize:1000, methodArgument:800)","6,029.7 us",120.307 us,329.339 us,"5,949.9 us"
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtEnd startCapacity:10000 originalSize:10000, methodArgument:8000)","60,079.7 us","1,246.648 us","2,986.888 us","59,588.7 us"
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtEnd startCapacity:10000 originalSize:10000, methodArgument:8000)","62,447.3 us","1,877.450 us","5,264.571 us","61,223.1 us"
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtEnd startCapacity:200 originalSize:100, methodArgument:80)",641.4 us,13.956 us,38.672 us,632.0 us
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtEnd startCapacity:200 originalSize:100, methodArgument:80)",653.5 us,18.961 us,54.404 us,633.8 us
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtEnd startCapacity:2000 originalSize:1000, methodArgument:800)","10,053.7 us",472.149 us,"1,392.142 us","10,103.6 us"
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtEnd startCapacity:2000 originalSize:1000, methodArgument:800)","10,570.4 us",604.229 us,"1,781.584 us","10,269.5 us"
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtEnd startCapacity:20000 originalSize:10000, methodArgument:8000)","61,225.7 us","1,816.456 us","1,516.822 us","60,974.9 us"
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtEnd startCapacity:20000 originalSize:10000, methodArgument:8000)","60,770.7 us","1,212.392 us","3,063.870 us","60,143.9 us"
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtFront startCapacity:0 originalSize:100, methodArgument:80)",649.4 us,18.276 us,52.141 us,632.9 us
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtFront startCapacity:0 originalSize:100, methodArgument:80)",644.0 us,17.494 us,50.475 us,629.5 us
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtFront startCapacity:0 originalSize:1000, methodArgument:800)","5,982.7 us",151.418 us,424.593 us,"5,844.1 us"
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtFront startCapacity:0 originalSize:1000, methodArgument:800)","6,154.8 us",180.641 us,518.292 us,"6,013.9 us"
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtFront startCapacity:0 originalSize:10000, methodArgument:8000)","60,095.1 us","1,197.316 us","2,128.229 us","59,808.4 us"
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtFront startCapacity:0 originalSize:10000, methodArgument:8000)","60,414.9 us","1,397.292 us","2,048.133 us","60,403.5 us"
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtFront startCapacity:100 originalSize:100, methodArgument:80)",648.7 us,15.944 us,45.490 us,633.8 us
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtFront startCapacity:100 originalSize:100, methodArgument:80)",621.5 us,15.594 us,41.353 us,613.6 us
